time,x,y,vx,vy
2462400,131804529282.03654,70429815736.14645,-14049.263640904539,26296.894116027423
2484000,131498619146.08983,70996521605.66647,-14162.506293829641,26236.382848148904
2505600,131190268580.39047,71561909879.42172,-14275.489152748025,26175.38304422429
2527200,130879483242.17566,72125970028.9707,-14388.210102537756,26113.89581245273
2548800,130566268834.26843,72688691550.00822,-14500.66703274172,26051.92227025565
2570400,130250631104.97609,73250063962.5642,-14612.857837608373,25989.463544257662
2592000,129932575847.98763,73810076811.20197,-14724.780416132444,25926.520770267296
2613600,129612108902.27036,74368719665.21632,-14836.432672095541,25863.09509325754
2635200,129289236151.96565,74925982118.83101,-14947.812514106703,25799.187667346203
2656800,128963963526.28377,75481853791.39577,-15058.917855642852,25734.79965577609
2678400,128636296999.39784,76036324327.5831,-15169.746615089192,25669.932230894985
2700000,128306242590.337,76589383397.58443,-15280.296715779517,25604.58657413548
2721600,127973806362.87862,77141020697.30591,-15390.566086036444,25538.76387599457
2743200,127638994425.43965,77691225948.5638,-15500.552659211566,25472.46533601312
2764800,127301812930.96718,78239988899.27931,-15610.254373725522,25405.692162755106
2786400,126962268076.82805,78787299323.67311,-15719.669173107995,25338.4455737867
2808000,126620366104.69763,79333147022.45926,-15828.795006037622,25270.726795655162
2829600,126276113300.44778,79877521823.0388,-15937.629826381815,25202.53706386755
2851200,125929515994.03387,80420413579.69278,-16046.171593236511,25133.877622869244
2872800,125580580559.38101,80961812173.77486,-16154.418270965829,25064.749726022314
2894400,125229313414.2694,81501707513.90346,-16262.367829241644,24995.15463558366
2916000,124875721020.2188,82040089536.15341,-16370.018243083076,24925.093622683024
2937600,124519809882.37224,82576948204.24712,-16477.367492895886,24854.567967300773
2959200,124161586549.37878,83112273509.74522,-16584.413564511797,24783.578958245544
2980800,123801057613.27547,83646055472.23686,-16691.154449227706,24712.127893131674
3002400,123438229709.36842,84178284139.52936,-16797.58814384483,24640.21607835648
3024000,123073109516.11313,84708949587.83743,-16903.71265070774,24567.84482907733
3045600,122705703754.99387,85238041921.97191,-17009.52597774332,24495.01546918857
3067200,122336019190.40227,85765551275.52795,-17115.026138499616,24421.72933129823
3088800,121964062629.51508,86291467811.07277,-17220.21115218461,24347.987756704595
3110400,121589840922.17105,86815781720.33281,-17325.079043704893,24273.79209537257
3132000,121213360960.74704,87338483224.38046,-17429.62784370424,24199.14370590987
3153600,120834629680.03323,87859562573.82019,-17533.855588602084,24124.04395554305
3175200,120453654057.10759,88379010048.97421,-17637.76032063192,24048.49422009333
3196800,120070441111.2094,88896815960.06758,-17741.340087879573,23972.495883952273
3218400,119684997903.61206,89412970647.41281,-17844.59294432139,23896.050340057267
3240000,119297331537.49504,89927464481.59393,-17947.51694986234,23819.158989866843
3261600,118907449157.81496,90440287863.65,-18050.11017037399,23741.8232433358
3283200,118515357951.17593,90951431225.25803,-18152.370677732404,23664.044518890172
3304800,118121065145.69905,91460885028.91551,-18254.296549855924,23585.82424340203
3326400,117724578010.891,91968639768.12225,-18355.885870742855,23507.163852164067
3348000,117325903857.51201,92474685967.56172,-18457.13673050905,23428.064788864063
3369600,116925050037.44283,92979014183.2818,-18558.047225425376,23348.52850555913
3391200,116522023943.551,93481615002.87503,-18658.615457955093,23268.556462649816
3412800,116116833009.5563,93982479045.65828,-18758.839536791118,23188.150128854017
3434400,115709484709.89542,94481596962.85178,-18858.71757689318,23107.310981180734
3456000,115299986559.58568,94978959437.75769,-18958.247699524876,23026.040504903634
3477600,114888346114.0882,95474557185.93803,-19057.4280322906,22944.340193534463
3499200,114474570969.17007,95968380955.39203,-19156.256709172394,22862.21154879628
3520800,114058668760.76584,96460421526.73291,-19254.73187056665,22779.65608059651
3542400,113640647164.8381,96950669713.3641,-19352.851663320736,22696.67530699984
3564000,113220513897.23749,97439116361.65485,-19450.614240769482,22613.270754200945
3585600,112798276713.56161,97925752351.11519,-19548.01776277158,22529.443956497027
3607200,112373943409.0135,98410568594.5704,-19645.06039574584,22445.196456260215
3628800,111947521818.25902,98893556038.33485,-19741.740312707367,22360.52980390977
3650400,111519019815.28366,99374705662.38515,-19838.05569330358,22275.44555788413
3672000,111088445313.2485,99854008480.53278,-19934.004723850165,22189.945284612797
3693600,110655806264.34538,100331455540.59612,-20029.585597366862,22104.030558488037
3715200,110221110659.65134,100807037924.57178,-20124.796513613168,22017.702961836443
3736800,109784366528.98225,101280746748.8054,-20219.6356791239,21930.964084890293
3758400,109345581940.74577,101752573164.16179,-20314.10130724467,21843.815525758782
3780000,108904765001.79337,102222508356.19441,-20408.191618167188,21756.25889039906
